title,link,artist,year,classification,related_location,medium,dimensions,credit_line,copyright_status,cleaned_year,continent,country
"The Barricade, from Death and Resurrection",https://marble.nd.edu/item/2014.029.001,Otto Dix German 1891 1969,1922,Prints,"Europe, Germany","Dypoint on medium-weight, cream wove paper",10 3/4 x 13 5/8 in. (27.15 x 34.61 cm),Walter R. Beardsley Endowment for Contemporary Art,Copyright,1922,Europe,Germany
"Saint Jerome in the Wilderness, after Pieter Bruegel, the Elder",https://marble.nd.edu/item/2014.026,Jan van Doetechum the elder Dutch active 1554 ca 1600 Lucas van Doetechum Dutch After Pieter Bruegel Flemish 1525 1569,1555-1556,Prints,"Europe, Netherlands",Etching with engraving on laid paper,12 3/4 x 16 3/4 in. (32.39 x 42.5 cm),Walter R. Beardsley Endowment for Contemporary Art,Copyright,1555,Europe,Netherlands
Elysium and Tartarus (State of Final Retribution),https://marble.nd.edu/item/2014.052.003,James Barry Irish 1741 1806,1792,Prints,"Europe, Ireland",Etching and engraving in black ink on wove paper,32 1/4 x 43 3/4 x 1 1/2 in. (81.92 x 111.13 x 3.81 cm),Gift of William and Nancy Pressly in honor of the Stent Family,Public domain,1792,Europe,Ireland
A Washerwoman with a Child,https://marble.nd.edu/item/2014.061.023,JeanBaptiste Huet I French 1745 1811,late 18th century,Drawings,Europe,"Black and white chalk on tan laid paper, laid down on card",14 7/8 x 10 1/2 in. (37.8 x 26.52 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,2025,Europe,
Saint Francis of Assisi,https://marble.nd.edu/item/2014.061.022,Ubaldo Gandolfi Italian 1728 1781,1743-1781,Drawings,Europe,"Pen, black ink, and wash on paper, laid down",11 3/4 x 8 1/8 in. (29.85 x 20.65 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1762,Europe,
Sacrifice to Juno,https://marble.nd.edu/item/2014.061.018,Michel Dorigny French 1616 1665,probably ca. 1650-1651,Drawings,Europe,Red chalk on laid paper,14 x 19 in. (35.56 x 48.26 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1650,Europe,
"Lapperman, Petsamo, Finland",https://marble.nd.edu/item/2014.057.002,Lszl Moholy Nagy American born in Hungary 1895 1946,1930,Photographs,"Europe, Finland",Gelatin silver print,9 1/2 x 6 1/2 in. (24 x 16.4 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,Europe,Finland
An Elegant and Eccentric Woman at the Time of the Directory,https://marble.nd.edu/item/2014.061.036,Louis Lopold Boilly French 1761 1845,1795-1799,Drawings,"Europe, France","Pen, ink, and watercolor on laid paper",9 7/8 x 8 1/4 in. (25.08 x 20.96 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1797,Europe,France
An Architect Supervising Building Works,https://marble.nd.edu/item/2014.061.106,Charles Parrocel French 1688 1752,18th century,Drawings,Europe,"Black chalk, pen and black and brown ink and gray wash on laid paper, laid down",11 1/2 x 17 7/8 in. (29.21 x 45.42 cm),"Bequest of John D. Reilly, ND '63, '64",Public domain,1750,Europe,
Minerva Turning from Scenes of Destruction and Violence to Religion and the Arts,https://marble.nd.edu/item/2015.001.012,James Barry Irish 1741 1806,ca. 1805,Prints,,Etching on chine appliqué on laid India paper,7 3/4 x 4 3/4 in. (19.69 x 12.07 cm),Terry and Margaret Stent Fund,Public domain,1805,,
Milton Dictating to Ellwood the Quaker,https://marble.nd.edu/item/2015.001.010,James Barry Irish 1741 1806,ca. 1804-1805,Prints,,Etching and engraving with aquatint in black ink on wove paper,23 x 16 7/8 in. (58.26 x 42.86 cm),Terry and Margaret Stent Fund,Public domain,1804,,
Sauceboat,https://marble.nd.edu/item/2015.033,Mennecy Porcelain Manufactory French active 1734 1806,1755,Decorative Arts,"Europe, France, Mennecy, Île-de-France",Soft-paste porcelain,4 x 9 x 7 1/8 in. (10.16 x 22.86 x 18.1 cm),Virginia A. Marten Endowment for Decorative Arts,Public domain,1755,Europe,France
George III Carved Coconut Cup,https://marble.nd.edu/item/2017.003,Unknown Russian artist Alexander Gairdner British 1731 1803,1791,Decorative Arts,"Asia, Russia",Coconut and gilt silver,7 1/2 x 4 x 4 in. (19.05 x 10.16 x 10.16 cm),"Not on view, please request access",Public domain,1791,Asia,
White/Gray/Red Strand (in Box with Other Beads and Necklaces),https://marble.nd.edu/item/2017.025.262.003,Unrecorded Native North American artist,,Jewelry,North America,Glass beads,23 in. (58.42 cm),Bequest of Owen D. Mort Jr,Public domain,,North America,
Still Life from Fotoplastik,https://marble.nd.edu/item/2016.035,Herbert Bayer Austrian 1900 1985,1936,Photographs,"North America, United States",Gelatin silver print on carte postale paper,3 1/4 x 5 3/8 in. (8.4 x 13.7 cm),Humana Foundation Endowment,Copyright,1936,North America,United States
Fort Sumter,https://marble.nd.edu/item/2018.047.030.003,Julius Bien German 1829 1909,1861,Prints,North America,Lithograph on wove paper,in. (cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1861,North America,
"Ecorché, after Michael Spang",https://marble.nd.edu/item/2018.072.001,Edward Burch British 1730 1814 Michael Henry Spang Danish active 1750 1766 or 1767 William Hunter British 1718 1783,cast ca. 1767,Sculpture,"Europe, United Kingdom",Lead with bronze patination,12 7/8 x 3 3/8 x 3 3/8 in. (32.7 x 8.57 x 8.57 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1767,Europe,United Kingdom
Wisgak Gokbenagen (Black Ash Basket),https://marble.nd.edu/item/2019.006,Christine Marie RappMorseau American b 1968,2018,Basketry,"North America, United States",Black ash and sweet grass,7 1/4 x 8 1/4 x 8 1/8 in. (18.42 x 20.96 x 20.64 cm),Humana Foundation Endowment,Copyright,2018,North America,United States
Vegetables [3],https://marble.nd.edu/item/2019.016.117.003,Jim Dine American b 1935,1969,Prints,,Lithographs and collaged images,18 x 16 1/8 in. (45.72 x 40.96 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1969,,
Berlin 4,https://marble.nd.edu/item/2019.016.101,Jim Dine American b 1935,2013,Prints,,"Lithograph on Zerkal Alt Mainz, White",55 3/8 x 39 1/8 in. (140.65 x 99.38 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,2013,,
The Black and White Nancy Woodcut (First Version),https://marble.nd.edu/item/2019.016.112,Jim Dine American b 1935,1983,Prints,,Woodcut,48 1/4 x 36 5/8 in. (122.56 x 93.03 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1983,,
Venus and the Powdered Stone,https://marble.nd.edu/item/2019.016.156,Jim Dine American b 1935,1993,Prints,,Etching and carborundum with hand coloring on Folio Antique with cut edges,48 1/2 x 31 1/2 in. (123.19 x 80.01 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1993,,
[ ] from Winter Dream (For V) Portfolio,https://marble.nd.edu/item/2019.016.247.012,Jim Dine American b 1935,1995,Prints,,Woodcut on recycled grey blotter paper,67 x 51 1/8 in. (170.18 x 129.86 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1995,,
Knife Sheath,https://marble.nd.edu/item/2019.017.016,Unrecorded Ojibwa artist,,Apparel and Adornments,North America,"Leather, beadwork",in. (cm),Gift of Jerry Cooper,Public domain,,North America,
Blanket Strip,https://marble.nd.edu/item/2019.017.006,Unrecorded Sioux artist,,Textiles,,"Leather, cloth, beadwork, bells",in. (cm),Gift of Jerry Cooper,Public domain,,,
"The Red, White and Blue Venus for Mondale",https://marble.nd.edu/item/2019.016.236,Jim Dine American b 1935,1984,Prints,,Silkscreen from monotype,30 x 18 1/8 in. (76.2 x 46.04 cm),Gift of Jim Dine in honor of Joseph Becherer,Copyright,1984,,
Cree Style Boots,https://marble.nd.edu/item/2019.017.059,,,Apparel and Adornments,,"Beads, fur, trade cloth, animal hide (possibly moose)",in. (cm),Gift of Jerry Cooper,Public domain,,,
Eight Studies and Compositions of Flowers [Huit études et compositions de fleurs],https://marble.nd.edu/item/2019.022.001,Jules Ferdinand Jacquemart French 1837 1880,1862,Prints,"Europe, France",Etching on laid paper,20 3/4 x 14 1/8 in. (52.71 x 35.88 cm),"Rebecca Nanovic Lin, ND '87 Fund",Public domain,1862,Europe,France
Nuestra Senor Rebia,https://marble.nd.edu/item/2019.028.027,Anne Siems German b 1965,1996,Prints,,Color lithograph,14 3/4 x 11 5/8 in. (37.47 x 29.53 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,1996,,
Casa de Luce,https://marble.nd.edu/item/2019.028.042,Dan Rizzie American b 1951,1988,Prints,,Lithograph,45 1/4 x 37 in. (114.94 x 93.98 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,1988,,
Untitled from Monumenti Italiani,https://marble.nd.edu/item/2019.028.052.009,Dominique Blain Canadian b 1957,1995,Prints,,Photolithograph,16 x 12 in. (40.64 x 30.48 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,1995,,
Jalapa (Morning Glory),https://marble.nd.edu/item/2019.028.044,Dan Rizzie American b 1951,2004,Prints,,Color lithograph,31 1/2 x 26 1/8 in. (80.01 x 66.36 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,2004,,
Untitled from Monumenti Italiani,https://marble.nd.edu/item/2019.028.052.008,Dominique Blain Canadian b 1957,1995,Prints,,Photolithograph,16 x 12 in. (40.64 x 30.48 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,1995,,
Untitled from Monumenti Italiani,https://marble.nd.edu/item/2019.028.052.011,Dominique Blain Canadian b 1957,1995,Prints,,Photolithograph,16 x 12 in. (40.64 x 30.48 cm),"Gift of the Segura Arts Studio, University of Notre Dame Center for Arts & Culture",Copyright,1995,,
Covered Bowl and Stand,https://marble.nd.edu/item/2021.004,Svres Porcelain Manufactory French active 1756 present JacquesFranois Micaud French ca 1735 1811,1766,Decorative Arts,"Europe, France",Soft-paste porcelain,5 1/4 x 8 1/4 x 7 1/8 in. (13.34 x 20.96 x 18.1 cm),Virginia A. Marten Endowment for Decorative Arts,Copyright,1766,Europe,France
"Champs Gym, Philadelphia, Pennsylvania , January, 1993, from Boxing",https://marble.nd.edu/item/2020.027.006,Larry Fink American 1941 2023,1993,Photographs,"Philadelphia, North America, United States, Philadelphia, Pennsylvania",Gelatin silver print,20 3/8 x 16 3/8 in. (51.75 x 41.59 cm),Gift of Kevin and Delia Willsey,Copyright,1993,North America,United States
Head of the Confederacy on a New Base,https://marble.nd.edu/item/2021.009.014,Hilton Co American,ca. 1865,Prints,"North America, United States",Lithograph on wove paper,12 x 16 in. (30.48 x 40.64 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1865,North America,United States
Cordobes,https://marble.nd.edu/item/2021.013.031,Kenneth Snelson American 1927 2016,1970,Sculpture,"New York City, North America, United States, New York, New York",Anodized aluminum and stainless steel cable,15 3/4 x 46 7/8 x 26 5/8 in. (40.01 x 119.06 x 67.63 cm),Gift of the Estate of Kenneth Snelson on behalf of Katherine and Andrea Snelson,Copyright,1970,North America,United States
Levi Woodbury from Portrait Gallery of Distinguished American Citizens,https://marble.nd.edu/item/2022.004.032.011,William Henry Brown American 1844 1886,1845-1846,Prints,"North America, United States, Connecticut",Lithograph on wove paper,16 3/4 x 12 1/2 in. (42.55 x 31.75 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1845,North America,United States
Coming From the Trot,https://marble.nd.edu/item/2022.004.024,Haskell Allen American active 1871 1878,ca. 1873,Prints,"Boston, North America, United States, Suffolk, Massachusetts",Color lithograph on medium-weight wove paper,21 1/4 x 27 3/4 in. (53.98 x 70.49 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1873,North America,United States
Rador,https://marble.nd.edu/item/2021.013.036,Kenneth Snelson American 1927 2016,1975,Sculpture,"New York City, North America, United States, New York, New York",Anodized aluminum and stainless steel cable,20 1/8 x 18 x 6 1/4 in. (51.12 x 45.72 x 15.88 cm),Gift of the Estate of Kenneth Snelson on behalf of Katherine and Andrea Snelson,Copyright,1975,North America,United States
Crucifix,https://marble.nd.edu/item/2021.018,Dimitri Hadzi American 1921 2006,1979,Sculpture,,Bronze with stone base,24 1/2 x 12 x 7 in. (62.23 x 30.48 x 17.78 cm),Gift of Cynthia Hadzi,Copyright,1979,,
Thomas Cooper from Portrait Gallery of Distinguished American Citizens,https://marble.nd.edu/item/2022.004.032.017,William Henry Brown American 1844 1886,1845-1846,Prints,"North America, United States, Connecticut",Lithograph on wove paper,16 3/4 x 12 1/2 in. (42.55 x 31.75 cm),"Gift of Marifred, ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1845,North America,United States
White Stable,https://marble.nd.edu/item/2021.022.008,Amelia Stein Irish b 1958,2012,Photographs,"Europe, Ireland",Pigment print,14 1/8 x 18 1/8 in. (35.88 x 46.04 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,2012,Europe,Ireland
A Disturbed Child in a Warsaw Orphanage (Teresa Adwentowska),https://marble.nd.edu/item/2022.008,David Chim Seymour American b Poland 1911 1956,1948,Photographs,,Gelatin silver print,14 x 11 in. (35.5 x 27.8 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1948,,
"Hand Cut Turf, Portacloy 1",https://marble.nd.edu/item/2021.022.010,Amelia Stein Irish b 1958,2015,Photographs,"Europe, Ireland",Pigment print,14 1/8 x 14 1/8 in. (35.88 x 35.88 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,2015,Europe,Ireland
Springtime [Le Printemps],https://marble.nd.edu/item/2022.022.016,Charlesmile Jacque French 1813 1894,1864,Prints,"Europe, France",Etching and roulette on chine collé on thick wove paper,6 3/4 x 4 7/8 in. (17.15 x 12.38 cm),Alexander Platt Collection of Prints and Drawings,Public domain,1864,Europe,France
The Fishing-Place at Bezons,https://marble.nd.edu/item/2022.022.007,Charles Franois Daubigny French 1817 1878,1850,Prints,"Europe, France",Etching on thick wove paper,6 1/2 x 5 1/4 in. (16.51 x 13.34 cm),Alexander Platt Collection of Prints and Drawings,Public domain,1850,Europe,France
"Entrance Arch into the Chapel and Tomb from The Chapel of the Cardinal of Portugal 1434 - 1459, at San Miniato in Florence",https://marble.nd.edu/item/2022.027.001,Clarence Kennedy American 1892 1972,1933,Photographs,,Gelatin silver print,19 1/4 x 13 1/4 in. (48.9 x 33.7 cm),Transfer from the Smith College Museum of Art of the Gift of Mrs. Edwin H. Laud,Copyright,1933,,
"Foot of Angel Bearing Palm from The Chapel of the Cardinal of Portugal 1434 - 1459, at San Miniato in Florence",https://marble.nd.edu/item/2022.027.023,Clarence Kennedy American 1892 1972,1933,Photographs,,Gelatin silver print,19 1/4 x 13 1/4 in. (48.9 x 33.7 cm),Transfer from the Smith College Museum of Art of the Gift of Mrs. Edwin H. Laud,Copyright,1933,,
The Matrix Effect VIII,https://marble.nd.edu/item/2023.001.039,Christian Jankowski German b 1968,2000,Photographs,,Chromogenic print,18 1/2 x 23 1/2 in. (47 x 59.7 cm),Gift of the Joe Baio Collection of Photography,Copyright,2000,,
The Matrix Effect VII,https://marble.nd.edu/item/2023.001.038,Christian Jankowski German b 1968,2000,Photographs,,Chromogenic print,18 1/2 x 23 1/2 in. (47 x 59.7 cm),Gift of the Joe Baio Collection of Photography,Copyright,2000,,
Elijah Clearwater,https://marble.nd.edu/item/2023.001.098,John Willis American b 1957,1986,Photographs,,Gelatin silver print,11 1/2 x 7 3/4 in. (29.2 x 19.6 cm),Gift of the Joe Baio Collection of Photography,Copyright,1986,,
A Man from Ghazieh and his Daughter,https://marble.nd.edu/item/2023.001.081,Hashem el Madani Lebanese 1928 2017,,Photographs,,Gelatin silver print,15 x 10 in. (38.1 x 25.4 cm),Gift of the Joe Baio Collection of Photography,Copyright,,,
Presidents of the United States,https://marble.nd.edu/item/2023.004.030,Nathaniel Currier American 1813 1888,1844,Prints,"North America, United States, New York",Color lithograph on wove paper,16 7/8 x 12 3/4 in. (42.86 x 32.39 cm),"Gift of Mary W., ND '66, and Salvatore Cilella, ND '63, '66",Public domain,1844,North America,United States
"Intarsia OrnamentThe Chapel of the Cardinal of Portugal 1434 - 1459, at San Miniato in Florence",https://marble.nd.edu/item/2022.027.009,Clarence Kennedy American 1892 1972,1933,Photographs,,Gelatin silver print,13 1/4 x 19 1/4 in. (33.7 x 48.9 cm),Transfer from the Smith College Museum of Art of the Gift of Mrs. Edwin H. Laud,Copyright,1933,,
"Turf Cutter at Mount Mellarey, County Waterford",https://marble.nd.edu/item/2024.001.012,Father Francis Browne SJ Irish 1880 1960,29-Apr,Photographs,,Gelatin silver print,15 3/4 x 10 1/8 in. (39.9 x 25.8 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,2029,,
"Henry Clay, after John W. Dodge",https://marble.nd.edu/item/2023.004.006,Henry S Sadd British John Wood Dodge American 1807 1893,1843,Prints,"North America, United States",Steel engraving on wove paper,25 3/8 x 18 1/8 in. (64.45 x 46.04 cm),"Gift of Mary W., ND '66, and Salvatore Cilella, ND '63, '66",Copyright,1843,North America,United States
Harlem,https://marble.nd.edu/item/2023.001.047,Helen Levitt American 1913 2009,ca. 1940,Photographs,,Gelatin silver print,3 x 2 1/4 in. (7.6 x 5.7 cm),Gift of the Joe Baio Collection of Photography,Copyright,1940,,
"Sign Boy on O'Connell Street, with Rotunda Gate Tram and Findlaters Church, Dublin",https://marble.nd.edu/item/2024.001.032,Father Francis Browne SJ Irish 1880 1960,1933,Photographs,,Gelatin silver print,15 3/4 x 11 3/8 in. (40 x 28.9 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1933,,
"Gleeson's Post Office, Emo, County Laois",https://marble.nd.edu/item/2024.001.034,Father Francis Browne SJ Irish 1880 1960,1935,Photographs,,Gelatin silver print,10 3/4 x 15 3/4 in. (27.4 x 40 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1935,,
Portrait of Young Man,https://marble.nd.edu/item/2024.008.002,Attributed to Gian Lorenzo Bernini Italian 1598 1680,17th century,Paintings,"Europe, Italy",Oil on canvas,20 1/2 x 17 1/2 in. (52.07 x 44.45 cm),Bequest of Ernestine Morris Carmichael Raclin,Public domain,1650,Europe,Italy
Portrait of a Russian Countess,https://marble.nd.edu/item/2024.008.029,Edmond AmanJean French 1858 1936,ca. 1900,Paintings,Europe,Oil on canvas,43 1/4 x 36 3/4 in. (109.86 x 93.35 cm),Bequest of Ernestine Morris Carmichael Raclin,Public domain,1900,Europe,
Half-Length Portrait of Jurist Leopold Dick,https://marble.nd.edu/item/2024.037.001,Hieronymus Hopfer German active ca 1520 1530,ca. 1530; printed late 17th century,Prints,Europe,etching on laid paper,12 1/8 x 7 5/8 in. (30.8 x 19.37 cm),Jeannie and Michael O'Neill Fund,Public domain,1530,Europe,
Blackenware Lidded Box,https://marble.nd.edu/item/AA1999.049.002,Unrecorded Santa Clara artist,ca. 1925,Decorative Arts,"North America, United States, New Mexico","Blackenware ceramic, hand-molded and burnished",5 1/4 x 3 3/4 in. (13.21 x 9.4 cm),Gift of the Congregation of the Holy Cross,Public domain,1925,North America,Mexico
Vodou Beaded Banner of Dambala and Ayida Wèdo,https://marble.nd.edu/item/L1997.006.005,Antoine Haitian 1920 1965,1960s,Textiles,,"Sequins and beads on burlap interior, satin backed",44 x 34 5/8 in. (111.76 x 87.95 cm),Lent by Peter David Joralemon,Copyright,1965,,
Cylindrical Vessel with Waaj Offering,https://marble.nd.edu/item/L1997.040.002,Unrecorded Maya artist,600-900,Vessels,"North America, Central America, Guatemala or Mexico",Cream ceramic,5 3/4 x 6 1/2 x 6 1/2 in. (14.61 x 16.51 x 16.51 cm),Lent by William Rodriguez,Copyright,750,North America,Guatemala
UNTITLED,https://marble.nd.edu/item/1980.122.002.F,Todd Webb American 1905 2000,11-Jul-76,Photographs,,Gelatin silver print,7 5/8 x 6 1/4 in. (19.38 x 15.72 cm),Gift of Mr. James G. Niven,Copyright,1976,,
Beaded Paint Bag,https://marble.nd.edu/item/1981.114.009,Unrecorded Southern Cheyenne artist,ca. 1875,Apparel and Adornments,"North America, United States","Leather, glass beads, sinew, and pigment",7 3/8 x 2 1/4 in. (18.73 x 5.72 cm),Gift of Dr. John F. McGonigle,Public domain,1875,North America,United States
Untitled,https://marble.nd.edu/item/1980.123.001.F,Berenice Abbott American 1898 1991,1950s,Photographs,,Gelatin silver print,10 x 8 in. (25.2 x 20.3 cm),Gift of Mr. Arthur Turchin,Copyright,1955,,
Comic Muse,https://marble.nd.edu/item/1975.014,William Hogarth British 1697 1764,1764,Prints,"Europe, United Kingdom, England",Etching and engraving on heavy wove paper,16 x 14 in. (40.64 x 35.56 cm),"Gift of Mrs. F. H. Wickett, by Exchange",Public domain,1764,Europe,United Kingdom
Bowl,https://marble.nd.edu/item/1984.009,Unger Brothers American active 1872 1919,ca. 1900,Decorative Arts,,Silver,3 x 12 1/4 x 12 1/8 in. (7.62 x 31.12 x 30.8 cm),Gift of Mr. L.A. Parks,Public domain,1900,,
The Ramparts of Avignon in Flood,https://marble.nd.edu/item/1984.012.005,douard Baldus French 1813 1889,1856,Photographs,"Europe, France, Avignon, Provence-Alpes-Côte d'Azur",Salt print from paper negative,5 7/8 x 8 3/8 in. (14.9 x 21.3 cm),Janos Scholz Collection,Public domain,1856,Europe,France
"View of the Ship Bridge and the Cologne Cathedral, Cologne",https://marble.nd.edu/item/1978.081.142,Johann Heinrich Schnscheidt German 1835 1903,ca. 1880,Photographs,"Europe, Germany, Cologne, North Rhine-Westphalia",Albumen print from wet collodion negative,7 1/4 x 8 7/8 in. (18.3 x 22.6 cm),Gift of Janos Scholz,Public domain,1880,Europe,Germany
"Monument to Lorenzo de'Medici, Duke of Urbino by Michelangelo, New Sacristy, Basilica of San Lorenzo, Florence",https://marble.nd.edu/item/1978.081.225,Giacomo Brogi Italian 1822 1881,ca. 1890,Photographs,"Europe, Italy",Albumen print from wet collodion negative,10 x 7 1/2 in. (25.3 x 19.2 cm),Gift of Janos Scholz,Public domain,1890,Europe,Italy
"California Coast, near Monterey",https://marble.nd.edu/item/1981.045,Samuel Colman American 1832 1920,ca. 1880-1890,Paintings,"North America, United States, California",Oil on canvas,25 5/8 x 29 1/2 x 2 1/4 in. (65.02 x 74.93 x 5.72 cm),"Gift of Mr. and Mrs. Arthur Wiesenberger, by Exchange",Public domain,1880,North America,United States
Saint John the Forerunner,https://marble.nd.edu/item/1986.063.002,Unknown Russian artist,17th century,Paintings,"Asia, Russia",Tempera and oil on wood panel,10 3/8 x 10 1/2 in. (26.37 x 26.67 cm),Gift of John L. Baringer,Public domain,1650,Asia,
"Dust Storm, Cimarron County, Oklahoma",https://marble.nd.edu/item/1975.031.004,Arthur Rothstein American 1915 1985,1936,Photographs,"North America, United States, Cimarron, Oklahoma",Gelatin silver print,10 x 7 3/4 in. (25.4 x 19.7 cm),"Gift of Mr. and Mrs. Samuel J. Schatz, by Exchange",Copyright,1936,North America,United States
Arena y Pinitos (Sand and Small Pines),https://marble.nd.edu/item/1979.123.001.001,Manuel lvarez Bravo Mexican 1902 2002,1920s; printed 1977,Photographs,,Gelatin silver print,6 5/8 x 9 1/2 in. (16.84 x 24.13 cm),"Gift of Mr. John C. Rudolf, ND ’70",Copyright,1925,,
Virgin and Child with the Cat and the Snake,https://marble.nd.edu/item/1991.025.034,Rembrandt van Rijn Dutch 1606 1669,1654,Prints,"Europe, Netherlands",Etching on laid paper,3 3/4 x 5 3/4 in. (9.5 x 14.5 cm),Gift of Mr. and Mrs. Jack F. Feddersen,Public domain,1654,Europe,Netherlands
"Broken Window, Gloucester",https://marble.nd.edu/item/1995.080.003,Aaron Siskind American 1903 1991,1944,Photographs,"Gloucester, North America, United States, Essex, Massachusetts",Gelatin silver print,8 1/8 x 10 in. (20.5 x 25.4 cm),Gift of Dr. George Violin,Copyright,1944,North America,United States
Landscape at Limay,https://marble.nd.edu/item/1995.056.001,Jean Baptiste Camille Corot French 1796 1875,1860-1875,Paintings,"Europe, France",Oil on canvas,16 3/4 x 24 1/8 in. (42.55 x 61.28 cm),Bequest of Alice Tully,Public domain,1867,Europe,France
Untitled from Lasting Impressions,https://marble.nd.edu/item/2001.061.009,Emmi Whitehorse Din b 1957,2001,Prints,,Five-color lithograph on Japanese Kozo paper,26 x 20 in. (66.04 x 50.8 cm),"Mr. and Mrs. Russell G. Ashbaugh Jr., ND '48",Public domain,2001,,
Aksu (Overskirt),https://marble.nd.edu/item/2002.056.001,Paulina Vargas Bolivian 1950 2001,1965 - 2001 CE,Textiles,"South America, Bolivia",Fiber,33 5/8 x 24 1/4 in. (85.41 x 61.6 cm),"Lake Family Endowment for the Arts of the Americas, Africa and Oceania",Copyright,1983,South America,
Untitled (Long Line of Inmates Digging),https://marble.nd.edu/item/2002.012.010,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,,
Stacked Ollas,https://marble.nd.edu/item/2000.017.016,Unrecorded Teotihuacano artist Formerly attributed to Unrecorded Teotihuacn artist,300 - 650,Vessels,"North America, Mexico, Teotihuacán, México",Slipped ceramic,3 x 4 1/2 x 4 1/2 in. (7.62 x 11.43 x 11.43 cm),"Lake Family Endowment for the Arts of the Americas, Africa and Oceania",Public domain,475,North America,Mexico
Chateau of Pau,https://marble.nd.edu/item/1994.030.030,Joseph Vigier French 1821 1862 JeanJacques Heilmann French 1822 1859,ca. 1853,Photographs,"Europe, France, Pau, Nouvelle-Aquitaine",Salt print,7 1/2 x 9 7/8 in. (19.2 x 25.2 cm),Gift of Mrs. Janos Scholz,Public domain,1853,Europe,France
Portrait of a Seated Man Holding a Book,https://marble.nd.edu/item/1994.049.001,Louis Lopold Boilly French 1761 1845,1815,Drawings,Europe,Black chalk with estompe on off-white wove paper,13 7/8 x 10 7/8 in. (35.26 x 27.64 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1815,Europe,
Secessionist Ware Grand Vase,https://marble.nd.edu/item/2001.026,Minton Ceramics Manufactory British active 1796 Leon Victor Solon British 1872 after 1953,1902,Decorative Arts,,Glazed earthenware with slip-trailed decoration,18 1/2 in. (46.99 cm),William L. and Erma M. Travis Endowment for the Decorative Arts,Public domain,1902,,
"Study for ""The Reconciliation"" (recto)",https://marble.nd.edu/item/1996.070.024.a,Jean Baptiste Greuze French 1725 1805,ca. 1785,Drawings,"Europe, France",Brush and gray wash over black chalk on laid paper,9 1/4 x 13 3/8 in. (23.5 x 33.81 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1785,Europe,France
Expulsion from Paradise from the series The Story of the First Men,https://marble.nd.edu/item/2007.042.010,Heinrich Aldegrever German 1502 ca1561,1540,Prints,"Europe, Germany",Engraving on laid paper,3 1/4 x 2 1/2 in. (8.26 x 6.35 cm),Gift of Dr. and Mrs. R. Stephen Lehman,Public domain,1540,Europe,Germany
You Won (Lost River) (Hidden River),https://marble.nd.edu/item/2009.007.007,Leopoldo Mndez Mexican 1902 1968,1948,Prints,,Linocut on paper,15 1/4 x 25 1/2 in. (38.74 x 64.77 cm),"Gift of Charles S. Hayes, ND ’65",Copyright,1948,,
Untitled (Two Women Standing and Cutting Asparagus),https://marble.nd.edu/item/2002.012.072,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Copyright,1930,,
